country,year,gdp_pcap (US dollars)
MUS,2014,10366.355075493615
MUS,2015,9507.871336564236
MUS,2016,9965.725310852278
MUS,2017,10841.68477548439
MUS,2018,11643.4605962124
MUS,2019,11403.252787067413
MUS,2020,9011.042884450235
MUS,2021,9068.973002267072
MUS,2022,10223.788231657354
MUS,2023,11182.186568616036
MUS,2024,11871.733679438037
MWI,2012,558.46208832772
MWI,2013,496.94736826731287
MWI,2014,529.5133440205997
MWI,2015,539.605363240686
MWI,2016,450.50610551071867
MWI,2017,495.76968336716527
MWI,2018,533.2031736867051
MWI,2019,580.8898160667763
MWI,2020,602.5074781761056
MWI,2021,617.4475208024538
MWI,2022,604.2697511845147
MWI,2023,602.343619809252
MWI,2024,508.3712735317081
MYS,2012,10600.574424002583
MYS,2013,10713.640763889869
MYS,2014,11013.310733440316
MYS,2015,9648.679793752302
MYS,2016,9476.534098099228
MYS,2017,9862.548066122346
MYS,2018,10901.80199544212
MYS,2019,10920.191763972032
MYS,2020,9957.526266976134
MYS,2021,10903.111642593807
MYS,2022,11748.091930794435
MYS,2023,11379.085192355718
MYS,2024,11867.258643544259
NAM,2012,5942.646809786729
NAM,2013,5346.621311499674
NAM,2014,5378.323262412051
NAM,2015,4774.106508657753
NAM,2016,4395.687761623764
NAM,2017,5143.960723230756
NAM,2018,5308.608134087051
NAM,2019,4731.921031883102
NAM,2020,3878.589829939662
NAM,2021,4412.835569305204
NAM,2022,4349.799084933142
NAM,2023,4187.605003507864
NAM,2024,4413.127441864595
NER,2012,528.5101044696552
NER,2013,552.1033343631171
NER,2014,565.3098973117496
NER,2015,485.6625741752788
NER,2016,502.70647540644563
NER,2017,521.8041300234345
NER,2018,578.5680356808915
NER,2019,561.6913043496979
NER,2020,579.5124957582361
NER,2021,608.722439593808
NER,2022,609.7451476616831
NER,2023,638.3360807232988
NER,2024,722.7486503262572
NGA,2012,2633.197346713614
NGA,2013,2872.790833793982
NGA,2014,3088.7213131616927
NGA,2015,2585.733606717974
NGA,2016,2070.412733959496
NGA,2017,1876.3402711177298
NGA,2018,2057.8794455401057
NGA,2019,2265.1552086305574
NGA,2020,2019.6570632622404
NGA,2021,2017.2748648152663
NGA,2022,2139.3747847697355
NGA,2023,1596.6369612900096
NGA,2024,806.9456950552443
NLD,2012,50473.94420026887
NLD,2013,52602.28605207657
NLD,2014,53457.22348643223
NLD,2015,45793.81354346971
NLD,2016,46808.52914925029
NLD,2017,49513.6817346384
NLD,2018,53955.07700242659
NLD,2019,53554.900749147506
NLD,2020,53467.92774137373
NLD,2021,60141.98809114923
NLD,2022,59123.31855648699
NLD,2023,64572.00595588537
NLD,2024,68218.72610194064
NOR,2012,102175.91929837366
NOR,2013,103553.84013441675
NOR,2014,97666.69518387492
NOR,2015,74809.96580498976
NOR,2016,70867.36099707492
NOR,2017,76131.83840327642
NOR,2018,82792.84271133045
NOR,2019,76430.58894733385
NOR,2020,68340.01810337017
NOR,2021,93072.89251195709
NOR,2022,109269.52058029761
NOR,2023,87497.32892973417
NOR,2024,86809.72468974315
NPL,2012,788.2029371483766
NPL,2013,803.2695954204771
NPL,2014,821.455224911731
NPL,2015,875.5436354748624
NPL,2016,877.2564546967368
NPL,2017,1034.2837490684637
NPL,2018,1179.1984319038922
NPL,2019,1203.142947064013
NPL,2020,1154.215175783182
NPL,2021,1252.7507673198581
NPL,2022,1385.9106627485075
NPL,2023,1382.3305576930356
NPL,2024,1447.310044584281
OMN,2012,24642.297876859564
OMN,2013,23458.02338400529
OMN,2014,23160.65022525467
OMN,2015,18808.30779218389
OMN,2016,17110.189746054482
OMN,2017,17820.066180933452
OMN,2018,19901.76156420162
OMN,2019,19180.186415280146
OMN,2020,16784.86306300576
OMN,2021,19403.460016021098
OMN,2022,23223.582940593456
OMN,2023,20972.48308866368
OMN,2024,20248.416812460775
PAK,2012,1204.364754915847
PAK,2013,1225.4340119198034
PAK,2014,1266.6134084995933
PAK,2015,1380.4702083831723
